epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,764.202,2.02207,3.90263,2.00165,0.39832,0.0517,0.01051,0.00369,2.86596,8.3769,2.79814,0.00166457,0.00166457,0.0683732
2,880.956,1.95753,3.71338,1.99389,0.05026,0.18014,0.03019,0.01269,1.98491,4.8388,2.06368,0.00332299,0.00332299,0.0366983
3,995.857,1.86693,3.52667,1.92059,0.2086,0.1111,0.06113,0.02876,1.94557,3.69491,2.0037,0.00497316,0.00497316,0.00501509
4,1110.03,1.79769,3.39574,1.87055,0.22676,0.15083,0.06515,0.03077,1.70179,3.74696,1.91221,0.00496288,0.00496288,0.00496288
5,1224.28,1.75325,3.27826,1.82735,0.22097,0.17184,0.08489,0.04243,1.73276,3.25827,1.83233,0.0049505,0.0049505,0.0049505
6,1338.39,1.69762,3.18382,1.77647,0.18854,0.19523,0.1209,0.06195,1.56087,2.8662,1.72,0.00493813,0.00493813,0.00493813
7,1452.65,1.67585,3.09966,1.76526,0.32249,0.19281,0.13697,0.07573,1.55167,2.71724,1.69795,0.00492575,0.00492575,0.00492575
8,1566.39,1.64019,3.01463,1.72706,0.15291,0.26938,0.12616,0.06805,1.51417,2.8419,1.67464,0.00491338,0.00491338,0.00491338
9,1680.4,1.59857,2.92197,1.68585,0.16278,0.21695,0.12052,0.06798,1.55278,2.79279,1.66477,0.004901,0.004901,0.004901
10,1795.43,1.5979,2.92366,1.69957,0.12373,0.22862,0.10826,0.05939,1.48283,2.92428,1.67289,0.00488863,0.00488863,0.00488863
11,1910.69,1.58286,2.88309,1.6744,0.15725,0.20526,0.12022,0.06433,1.53905,2.95343,1.64582,0.00487625,0.00487625,0.00487625
12,2025.37,1.57717,2.82845,1.66013,0.30692,0.23485,0.14984,0.08459,1.46878,2.8212,1.60195,0.00486388,0.00486388,0.00486388
13,2140.92,1.5603,2.81358,1.65373,0.30843,0.27168,0.16492,0.08901,1.46808,2.64072,1.61729,0.0048515,0.0048515,0.0048515
14,2256.03,1.55155,2.76755,1.63822,0.18448,0.25192,0.16093,0.09215,1.39738,2.57085,1.57292,0.00483913,0.00483913,0.00483913
15,2371.64,1.52753,2.72093,1.62678,0.34564,0.298,0.18273,0.10307,1.41153,2.48277,1.60941,0.00482675,0.00482675,0.00482675
16,2487.07,1.53417,2.72998,1.62964,0.30795,0.28537,0.1815,0.09828,1.41795,2.44933,1.57641,0.00481438,0.00481438,0.00481438
17,2602,1.50211,2.66303,1.60769,0.20125,0.31314,0.19412,0.10821,1.39296,2.40466,1.54953,0.004802,0.004802,0.004802
18,2717.52,1.50565,2.65229,1.59936,0.23202,0.31087,0.19981,0.11247,1.37509,2.43876,1.54835,0.00478963,0.00478963,0.00478963
19,2833.26,1.48829,2.61983,1.59,0.35395,0.27493,0.20548,0.11836,1.37714,2.38375,1.55883,0.00477725,0.00477725,0.00477725
20,2948.58,1.47749,2.59689,1.58428,0.24575,0.32355,0.21919,0.1284,1.36881,2.31872,1.52297,0.00476488,0.00476488,0.00476488
21,3063.96,1.47222,2.59056,1.58346,0.26613,0.32104,0.21922,0.12832,1.34501,2.33515,1.52552,0.0047525,0.0047525,0.0047525
22,3178.55,1.47404,2.56808,1.57717,0.24536,0.32929,0.23031,0.13653,1.32892,2.28622,1.50566,0.00474013,0.00474013,0.00474013
23,3294.37,1.47164,2.54132,1.56968,0.2652,0.31122,0.238,0.13982,1.36417,2.27028,1.5232,0.00472775,0.00472775,0.00472775
24,3410.05,1.45344,2.51082,1.56878,0.37847,0.30693,0.2364,0.13854,1.36418,2.29383,1.54504,0.00471537,0.00471537,0.00471537
25,3525.14,1.4458,2.48294,1.55815,0.2443,0.33448,0.2221,0.13234,1.36052,2.26673,1.53453,0.004703,0.004703,0.004703
26,3640,1.45363,2.49224,1.5562,0.23077,0.34061,0.23104,0.13386,1.34953,2.30149,1.51596,0.00469063,0.00469063,0.00469063
27,3754.81,1.43127,2.46678,1.54778,0.2644,0.33695,0.22062,0.13441,1.35916,2.23924,1.52055,0.00467825,0.00467825,0.00467825
28,3869.77,1.4238,2.42359,1.53892,0.26604,0.37416,0.2566,0.15154,1.30771,2.19251,1.48606,0.00466587,0.00466587,0.00466587
29,3984.91,1.43603,2.4446,1.55319,0.31732,0.37237,0.24828,0.14735,1.33341,2.21836,1.49877,0.0046535,0.0046535,0.0046535
30,4099.37,1.42701,2.43022,1.55369,0.26365,0.36063,0.25402,0.15154,1.33348,2.21125,1.52028,0.00464113,0.00464113,0.00464113
31,4214.61,1.42373,2.40287,1.54027,0.28346,0.37294,0.25741,0.15838,1.3036,2.15623,1.49064,0.00462875,0.00462875,0.00462875
32,4330.3,1.40297,2.34113,1.52549,0.31063,0.37835,0.27153,0.16504,1.30911,2.10487,1.48693,0.00461637,0.00461637,0.00461637
